# method=RecursiveStab
# population_size=5000
# max_complexity=150
# cross_mut_prob=0.8
# max_lexicase_comparisons=100
# use_l2_scaling=true
# constant_stab_probability=0.2
# use_tournament_stratum=false
# n_targets=101
time_running,eff,maxhits
1.7893619537353516,3.709695931842868e7,32
3.7256569862365723,4.710072243464578e7,32
5.4949870109558105,5.710255335970919e7,33
7.264405965805054,6.710311223816873e7,33
8.871361017227173,7.71045613772924e7,34
10.725208044052124,8.710825542399906e7,36
12.545734882354736,9.711051152283855e7,41
14.154545068740845,1.0711092983494751e8,43
15.771880865097046,1.1711348649934681e8,43
17.674453020095825,1.2711437649392065e8,44
19.378079891204834,1.371183062049238e8,44
21.08981704711914,1.47119423187649e8,44
22.848049879074097,1.5712308113561898e8,44
24.640883922576904,1.671237076965434e8,46
26.433462858200073,1.7713054905525625e8,46
28.250496864318848,1.8713258649532816e8,46
30.193567991256714,1.9713360455862167e8,46
31.84203791618347,2.071372590318673e8,46
33.59717106819153,2.1713963903828982e8,46
35.261852979660034,2.2714754800916633e8,46
37.10852599143982,2.3715060585919037e8,48
38.909345865249634,2.4715282689957732e8,48
40.903064012527466,2.5715327714217585e8,49
42.849732875823975,2.671536496391188e8,49
44.81289291381836,2.771545427545451e8,52
46.8119330406189,2.8715813961562705e8,53
49.02014708518982,2.971617493211013e8,53
51.11483907699585,3.0716357261030364e8,53
53.08302593231201,3.171685584832343e8,53
55.24271202087402,3.2716968865711313e8,54
57.47254204750061,3.371701985995542e8,54
59.782504081726074,3.4717101015494967e8,54
61.8900420665741,3.571721208888594e8,55
64.07992005348206,3.67175334576956e8,55
66.49743509292603,3.771756668140256e8,56
68.73058891296387,3.8717664392392296e8,56
70.96709990501404,3.971800630796335e8,56
73.25662994384766,4.0718345377957875e8,56
75.57329297065735,4.1718889710353637e8,58
77.89906001091003,4.2719136838641906e8,59
80.04411792755127,4.3719176344418365e8,59
82.48474502563477,4.4719444124207485e8,60
84.66699385643005,4.571954030802502e8,60
86.75768494606018,4.6719812704006886e8,60
89.03285002708435,4.7719852071078783e8,60
91.19993805885315,4.872028245718698e8,62
93.41171288490295,4.9720632008619034e8,62
95.48027896881104,5.0721000579640275e8,62
97.7327950000763,5.1721296299318814e8,62
99.91105508804321,5.272136350225172e8,62
102.43860507011414,5.372162388891281e8,62
104.66277289390564,5.472182790961807e8,62
106.90399599075317,5.57218474581275e8,62
108.98099994659424,5.672188609628943e8,62
111.23784399032593,5.772214946794264e8,62
113.3716208934784,5.872238941187077e8,62
115.75445890426636,5.972316823099641e8,62
117.99070596694946,6.072352083677286e8,62
120.22060799598694,6.172367269160136e8,62
122.48805809020996,6.272394904421828e8,62
124.80291700363159,6.372441288869929e8,62
127.11643385887146,6.472450209621351e8,62
129.45666098594666,6.572474613548124e8,62
131.58263397216797,6.672494835160519e8,62
134.03532004356384,6.772517770935631e8,62
136.16634106636047,6.872596815494311e8,62
138.34964203834534,6.972619869310505e8,62
140.57421708106995,7.07263317364012e8,63
142.72549986839294,7.172691417803866e8,63
144.91529202461243,7.272701865727488e8,63
147.12652587890625,7.372722424053953e8,63
149.32222890853882,7.472744759363027e8,63
151.4529640674591,7.572767851394078e8,63
153.75265288352966,7.672790558093361e8,63
155.94936800003052,7.772793606309246e8,63
158.1470148563385,7.872915494343448e8,63
160.38801908493042,7.972922985158066e8,63
162.5174629688263,8.072925078855773e8,64
164.82561993598938,8.172949031566113e8,64
167.2044050693512,8.27295273572986e8,64
169.3957600593567,8.372955367405452e8,64
171.5819809436798,8.472987150234278e8,64
173.9169099330902,8.573015316467522e8,64
176.1922619342804,8.673021512653384e8,64
178.5027768611908,8.773030770047771e8,64
180.85025095939636,8.87303912854801e8,64
183.22619199752808,8.973087657972422e8,64
185.6165430545807,9.073119572712785e8,64
187.77496004104614,9.173140287224083e8,64
190.09470891952515,9.273207791443119e8,64
192.28553295135498,9.37324592583593e8,64
194.48733592033386,9.473292570639491e8,64
196.5971930027008,9.573329167457261e8,64
198.76017498970032,9.6733700923714e8,64
200.96085405349731,9.773378718091223e8,64
203.04627990722656,9.87342612640978e8,64
205.44177508354187,9.973466128085371e8,64
207.62526988983154,1.0073505206522415e9,66
209.76241302490234,1.0173540654493419e9,66
211.98978996276855,1.0273555298601876e9,66
214.18827891349792,1.0373564358128958e9,66
216.42769193649292,1.0473592427269013e9,66
218.68598008155823,1.057359615917367e9,66
220.7740399837494,1.0673603153621771e9,67
222.91061687469482,1.07736450121773e9,67
225.25152397155762,1.0873679575124614e9,67
227.4506049156189,1.0973701844549024e9,67
229.65501809120178,1.107371724523725e9,67
231.89669704437256,1.1173719245238276e9,67
234.15258407592773,1.127376727829617e9,67
236.57063388824463,1.137380665870004e9,67
238.7804470062256,1.1473840475399323e9,67
241.1432650089264,1.1573855379792132e9,67
243.54679489135742,1.1673897613134382e9,67
245.88671708106995,1.177390151856194e9,67
248.02399802207947,1.1873934356540854e9,67
250.20184993743896,1.1973966528097959e9,67
252.28888392448425,1.2073981758730893e9,67
254.55880498886108,1.2174018407633975e9,67
256.72337007522583,1.2274044803819838e9,67
258.96849608421326,1.237408293821265e9,69
261.20072507858276,1.2474164905204194e9,69
263.3431589603424,1.257416510387821e9,69
265.68253898620605,1.2674206108618574e9,69
267.94204592704773,1.2774263252553256e9,69
270.44228196144104,1.287430062682758e9,69
272.72191190719604,1.2974303848566368e9,69
275.00534105300903,1.307430389799078e9,69
277.31797885894775,1.3174304568686912e9,69
279.46784687042236,1.3274325002037067e9,70
281.8551619052887,1.337433361041882e9,70
284.1033160686493,1.3474338560593624e9,72
286.58048486709595,1.3574395326202867e9,73
288.8819489479065,1.3674431267072775e9,73
291.2145230770111,1.3774486023084862e9,73
293.5709969997406,1.3874490813607218e9,73
295.95501589775085,1.3974507196554532e9,73
298.37454295158386,1.4074596601468673e9,73
300.97466492652893,1.4174615094645052e9,73
303.3645920753479,1.4274622436210063e9,73
305.8445119857788,1.4374626011929886e9,74
308.0548028945923,1.4474665801867719e9,74
310.1693229675293,1.457468603041534e9,74
312.4791839122772,1.4674715349034066e9,74
314.68786787986755,1.4774789982273643e9,74
316.94135189056396,1.487480052736156e9,74
319.22929406166077,1.4974837977994494e9,74
321.5371370315552,1.5074842876083984e9,74
323.7257070541382,1.5174864423533661e9,74
325.95470786094666,1.5274874121741638e9,74
328.3809509277344,1.537488171665578e9,74
330.66847491264343,1.5474942817296622e9,74
333.0301549434662,1.5574944227234452e9,74
335.19748997688293,1.567499137180104e9,74
337.5678560733795,1.577499844260775e9,75
339.81828904151917,1.587500208081573e9,75
342.2943699359894,1.597504535890522e9,75
344.5487380027771,1.6075068804917307e9,75
346.8979449272156,1.6175094801972048e9,76
349.21647906303406,1.6275104986072598e9,76
351.56656193733215,1.6375144918324807e9,76
353.95087599754333,1.6475187287046204e9,76
356.38494992256165,1.657520853260016e9,76
358.90856885910034,1.6675231666242578e9,76
361.3509478569031,1.6775255927926075e9,76
363.6388020515442,1.6875320929720154e9,76
365.79720306396484,1.6975329492951822e9,76
368.1159780025482,1.7075353657399924e9,76
370.3801028728485,1.7175364428096056e9,76
372.65742897987366,1.727538503843673e9,76
374.97725796699524,1.7375391789938545e9,77
377.15646600723267,1.747548183693009e9,77
379.55638003349304,1.7575543374845805e9,77
381.81146907806396,1.7675553597090106e9,77
384.11195492744446,1.777560136639603e9,77
386.49530696868896,1.787561247720274e9,77
389.15335607528687,1.7975646741650841e9,77
391.7628290653229,1.80757355843138e9,77
394.25128197669983,1.8175841496273746e9,77
396.8196840286255,1.8275882660666559e9,77
399.17701292037964,1.8375901077484329e9,77
401.5203559398651,1.8475933290723903e9,77
403.92357301712036,1.8575936845638044e9,78
406.5932059288025,1.867596491123938e9,78
409.05313205718994,1.8775972526959205e9,78
411.3922860622406,1.8876015711352015e9,78
413.9750669002533,1.8976021157822232e9,78
416.6046829223633,1.907603059921347e9,78
419.15654706954956,1.91760418627374e9,78
421.4640140533447,1.9276043335163386e9,78
423.81993103027344,1.9376075926728399e9,78
426.2115399837494,1.9476095242511418e9,78
428.5019850730896,1.9576117820837882e9,78
430.8164339065552,1.9676118550554554e9,78
433.1384708881378,1.9776124437838364e9,78
435.5197219848633,1.9876144517207484e9,78
437.79907488822937,1.9976163860731416e9,78
440.2924039363861,2.0076172764144769e9,78
442.60621309280396,2.0176184353908823e9,78
444.9589509963989,2.0276194027843504e9,78
447.33693408966064,2.0376203004147851e9,78
449.7335729598999,2.047622073373813e9,78
451.97110295295715,2.0576265702119884e9,78
454.42861008644104,2.0676282744482672e9,78
456.7299180030823,2.0776288794886541e9,79
459.3269190788269,2.0876342700551076e9,79
461.7585680484772,2.097638369835621e9,79
464.238322019577,2.107640047696703e9,79
466.73221492767334,2.1176433183034406e9,79
469.28488302230835,2.127646368864365e9,79
471.8236680030823,2.1376486141993804e9,79
474.47391986846924,2.147652958667097e9,79
476.8308959007263,2.157658376656142e9,79
479.1831910610199,2.1676615424485044e9,79
481.58394598960876,2.1776654561942625e9,79
483.9062759876251,2.1876701807141123e9,79
486.40239691734314,2.1976728900957317e9,79
488.78488302230835,2.2076807518643966e9,79
491.2073118686676,2.217682303390566e9,79
493.692421913147,2.227682522830638e9,79
496.0050299167633,2.237682972726475e9,79
498.4026300907135,2.247693678807146e9,79
500.79258489608765,2.257695721101877e9,79
503.5405869483948,2.2676961456628017e9,79
506.09760308265686,2.2777041927726994e9,79
508.3650679588318,2.2877049269292e9,79
510.8614718914032,2.2977072423740106e9,79
513.1681680679321,2.307711858951522e9,79
515.4933059215546,2.3177119936964893e9,80
518.0913889408112,2.3277194257763696e9,80
520.4943699836731,2.337719884348352e9,80
522.9562320709229,2.347719976752878e9,80
525.4420380592346,2.357726314151875e9,80
527.6731760501862,2.3677303059900503e9,80
530.2193970680237,2.377731356330595e9,80
532.8025970458984,2.3877344301458635e9,80
535.3106260299683,2.397736076076456e9,80
537.8201179504395,2.407736210481773e9,80
540.2579689025879,2.417738520725162e9,80
542.6006829738617,2.4277421401470656e9,80
