# method=RecursiveStab
# population_size=5000
# max_complexity=150
# cross_mut_prob=0.8
# max_lexicase_comparisons=100
# use_l2_scaling=true
# constant_stab_probability=0.2
# use_tournament_stratum=false
# n_targets=101
time_running,eff,maxhits
1.9692609310150146,3.693827963517303e7,41
3.990877866744995,4.693929319056851e7,62
5.811700820922852,5.694319652637479e7,65
7.463740825653076,6.6948353162338585e7,65
9.238977909088135,7.694913139308846e7,67
10.934573888778687,8.694949173916188e7,67
12.671103954315186,9.695124110419443e7,68
14.355326890945435,1.0695300122594047e8,69
16.063256978988647,1.1695492655542704e8,71
17.808120012283325,1.2695594704605027e8,72
19.56538701057434,1.369594196527878e8,73
21.218204975128174,1.4696001913788205e8,80
22.910594940185547,1.569650424965949e8,80
24.804317951202393,1.6696631774472237e8,81
26.346449851989746,1.769672938143356e8,83
27.943965911865234,1.8697406089500672e8,85
29.53246784210205,1.9697552946698904e8,88
31.173818826675415,2.0697809446077213e8,88
32.76533889770508,2.1697906774918377e8,88
34.52703285217285,2.2698207214818075e8,88
36.16194796562195,2.3698587274306962e8,88
37.97533988952637,2.469866405638674e8,88
39.7644100189209,2.569930091998312e8,89
41.58034682273865,2.6699346638476795e8,89
43.202934980392456,2.769967494891364e8,89
44.851361989974976,2.86999551541372e8,89
46.40630102157593,2.97001414396925e8,89
48.09746289253235,3.0700553604473746e8,91
49.68145179748535,3.17005971015614e8,91
51.26367783546448,3.270098295765384e8,91
52.75892901420593,3.370109215711122e8,91
54.38856101036072,3.470114360214513e8,91
56.077637910842896,3.5701235377826756e8,91
57.61171793937683,3.670129671480383e8,91
59.27776002883911,3.770189730841596e8,91
60.840423822402954,3.870222232177543e8,92
62.42183780670166,3.970224631309691e8,92
