# method=Standard
# population_size=5000
# max_complexity=150
# cross_mut_prob=0.8
# max_lexicase_comparisons=100
# use_l2_scaling=true
# constant_stab_probability=0.2
# use_tournament_stratum=false
# n_targets=101
time_running,eff,maxhits
2.753261089324951,3.6998017e7,35
5.406070947647095,4.6998229e7,45
7.920958995819092,5.6998441e7,50
10.17435097694397,6.6998552e7,55
12.497538089752197,7.6998764e7,59
14.878844976425171,8.6998875e7,60
16.97863793373108,9.7001006e7,61
19.087592124938965,1.0700142e8,66
21.06726908683777,1.17001632e8,68
23.12622308731079,1.27001642e8,72
25.638782024383545,1.37003268e8,72
27.81762194633484,1.47003985e8,75
30.46228003501892,1.57004399e8,76
32.609336137771606,1.6700754e8,80
34.88427710533142,1.7700755e8,85
37.11812210083008,1.87007661e8,87
39.6364049911499,1.97008176e8,88
42.25801396369934,2.07008792e8,91
44.62931704521179,2.17010418e8,92
46.954323053359985,2.27011236e8,92
49.28740191459656,2.37011347e8,92
51.785216093063354,2.47012367e8,92
54.5277841091156,2.57012781e8,93
57.10811495780945,2.6701471e8,94
59.753562927246094,2.77014821e8,94
62.34166097640991,2.87014932e8,95
65.14297008514404,2.97015346e8,95
67.84488701820374,3.07016669e8,95
70.38640904426575,3.17019002e8,98
73.02377605438232,3.27019012e8,99
75.63552808761597,3.37019224e8,100
78.50992798805237,3.47019335e8,100
81.6548900604248,3.57019345e8,100
84.79918503761292,3.67019355e8,100
88.02716612815857,3.77019668e8,100
91.29112005233765,3.87020789e8,100
94.44078302383423,3.970209e8,100
