# method=RecursiveStab
# population_size=5000
# max_complexity=150
# cross_mut_prob=0.8
# max_lexicase_comparisons=100
# use_l2_scaling=true
# constant_stab_probability=0.2
# use_tournament_stratum=false
# n_targets=101
time_running,eff,maxhits
1.7970468997955322,3.683598642190356e7,43
3.689404010772705,4.6836171150284335e7,46
5.475836992263794,5.6839717688302204e7,49
7.395462989807129,6.684150974053782e7,55
9.364888906478882,7.684361242863443e7,58
11.321384906768799,8.684561376996967e7,58
13.286475896835327,9.684798648018208e7,58
15.160375833511353,1.0685064414458138e8,58
17.225815773010254,1.1685149769365713e8,62
19.180727005004883,1.2685774831698151e8,62
21.214106798171997,1.3685856993556768e8,62
23.308193922042847,1.468605962650543e8,68
25.487830877304077,1.5686261877305508e8,69
27.559587955474854,1.668657783166019e8,72
29.592161893844604,1.7686580373218575e8,76
31.727452993392944,1.868668283910561e8,76
34.02440094947815,1.9687021318894732e8,77
36.26109290122986,2.0687214511401072e8,79
38.60672688484192,2.1687318885897836e8,79
40.95634579658508,2.268795043906765e8,83
43.32721996307373,2.3688216830389127e8,84
45.72264790534973,2.4688299061600024e8,87
48.16327381134033,2.5688334818798253e8,87
50.67338299751282,2.6688992437923902e8,87
53.1414008140564,2.768983400839225e8,88
55.82575583457947,2.868999766448469e8,88
58.11032795906067,2.9690656497986245e8,89
60.417104959487915,3.069119840091915e8,90
62.75901794433594,3.16912045523512e8,91
65.07911086082458,3.269126446618449e8,92
67.4984438419342,3.369163046903832e8,92
70.01629400253296,3.4691731303724736e8,92
72.58514881134033,3.569193917774768e8,92
75.06136989593506,3.6692511762118113e8,92
77.61440896987915,3.769323945636222e8,93
80.23440885543823,3.8693820926356745e8,93
82.77487683296204,3.969403445756764e8,93
85.52885794639587,4.06940636899634e8,93
88.03964495658875,4.1694702844318086e8,93
90.49936389923096,4.269530673571864e8,93
92.95626878738403,4.369573632356459e8,95
95.48738384246826,4.469600524908839e8,96
98.11456394195557,4.56960168843277e8,96
100.726646900177,4.669655621909319e8,96
103.21781086921692,4.769687814343212e8,96
105.79603099822998,4.8697964717455065e8,97
108.40517592430115,4.9698331865332526e8,97
110.98454284667969,5.069835252490049e8,97
113.76139879226685,5.169882015263586e8,97
116.29682493209839,5.2699100079739267e8,97
119.16393685340881,5.369971202311449e8,97
121.6723268032074,5.469989574050238e8,97
124.24672889709473,5.570019198103404e8,97
126.79510998725891,5.670059380237128e8,98
129.34706282615662,5.770059894748425e8,98
131.95870780944824,5.870080498224975e8,98
134.65157198905945,5.970096690311316e8,98
137.2663598060608,6.070196330604607e8,98
140.02648496627808,6.170266555921588e8,98
142.73850798606873,6.270337416380748e8,98
145.35928678512573,6.370353952045281e8,98
148.2698528766632,6.470390670371745e8,98
150.92285799980164,6.570397637078935e8,98
153.72053480148315,6.670405631124195e8,98
156.3048279285431,6.770432832507523e8,98
158.98462295532227,6.870438490715501e8,98
161.5656328201294,6.970489102628065e8,100
164.20864486694336,7.070490693095132e8,100
166.90443396568298,7.170492377258879e8,100
169.56919288635254,7.270520578239366e8,100
172.1939079761505,7.370591872576888e8,100
174.88143396377563,7.470611365350425e8,100
177.6458339691162,7.570660911710063e8,100
180.50862288475037,7.670669238930675e8,100
183.2704358100891,7.770774828118111e8,100
186.12637877464294,7.870782218229718e8,100
188.9320409297943,7.97078416267782e8,100
191.5112919807434,8.070856796723078e8,100
194.02595496177673,8.17092159024701e8,100
196.5972650051117,8.270922129031606e8,100
199.24996399879456,8.370935162674023e8,100
201.84344387054443,8.47095123325167e8,101
