# method=Standard
# population_size=5000
# max_complexity=150
# cross_mut_prob=0.8
# max_lexicase_comparisons=100
# use_l2_scaling=true
# constant_stab_probability=0.2
# use_tournament_stratum=false
# n_targets=101
time_running,eff,maxhits
2.4044549465179443,3.7112955e7,29
5.122673988342285,4.7113268e7,42
7.417638063430786,5.7114995e7,60
9.612573862075806,6.7115106e7,62
11.769005060195923,7.7115217e7,66
14.005328893661499,8.7115227e7,73
16.325461864471436,9.7117156e7,74
18.586323976516724,1.07117166e8,74
20.817693948745728,1.17117782e8,76
23.133260011672974,1.27120014e8,76
25.38933300971985,1.37121236e8,76
27.66309905052185,1.47123569e8,78
29.980435848236084,1.57123781e8,78
32.12184190750122,1.67124599e8,80
34.506903886795044,1.77124811e8,82
36.69460391998291,1.87125629e8,82
38.8959219455719,1.97126649e8,87
41.364243030548096,2.07126659e8,101
